"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170801","화","여","50대","서울특별시","관악구","봉천동","치킨","5"
"20170801","화","여","50대","서울특별시","관악구","신림동","치킨","56"
"20170801","화","여","60대이상","서울특별시","관악구","신림동","치킨","28"
"20170801","화","여","60대이상","서울특별시","관악구","봉천동","치킨","5"
"20170801","화","남","10대","서울특별시","광진구","자양동","치킨","5"
"20170801","화","남","20대","서울특별시","광진구","화양동","치킨","5"
"20170801","화","남","30대","서울특별시","광진구","광장동","치킨","5"
"20170801","화","남","30대","서울특별시","광진구","능동","치킨","5"
"20170801","화","남","30대","서울특별시","광진구","자양동","치킨","8"
"20170801","화","남","20대","서울특별시","광진구","자양동","치킨","7"
"20170801","화","남","30대","서울특별시","광진구","중곡동","치킨","5"
"20170801","화","남","20대","서울특별시","광진구","광장동","치킨","5"
"20170801","화","남","20대","서울특별시","광진구","능동","치킨","5"
"20170801","화","남","40대","서울특별시","광진구","능동","치킨","5"
"20170801","화","남","20대","서울특별시","광진구","중곡동","치킨","5"
"20170801","화","남","40대","서울특별시","광진구","자양동","치킨","5"
"20170801","화","남","40대","서울특별시","광진구","화양동","치킨","5"
"20170801","화","남","50대","서울특별시","광진구","광장동","치킨","5"
"20170801","화","남","60대이상","서울특별시","광진구","중곡동","치킨","5"
"20170801","화","여","10대","서울특별시","광진구","광장동","치킨","5"
"20170801","화","여","10대","서울특별시","광진구","자양동","치킨","5"
"20170801","화","여","20대","서울특별시","광진구","광장동","치킨","5"
"20170801","화","여","20대","서울특별시","광진구","능동","치킨","5"
"20170801","화","여","20대","서울특별시","광진구","자양동","치킨","10"
"20170801","화","여","30대","서울특별시","광진구","구의동","치킨","5"
"20170801","화","남","10대","서울특별시","광진구","광장동","치킨","5"
"20170801","화","남","30대","서울특별시","광진구","구의동","치킨","5"
"20170801","화","여","30대","서울특별시","광진구","자양동","치킨","8"
"20170801","화","여","40대","서울특별시","광진구","능동","치킨","5"
"20170801","화","여","40대","서울특별시","광진구","자양동","치킨","5"
"20170801","화","여","20대","서울특별시","광진구","구의동","치킨","5"
"20170801","화","남","50대","서울특별시","광진구","자양동","치킨","5"
"20170801","화","여","40대","서울특별시","광진구","중곡동","치킨","5"
"20170801","화","여","40대","서울특별시","광진구","화양동","치킨","5"
"20170801","화","여","50대","서울특별시","광진구","광장동","치킨","5"
"20170801","화","여","30대","서울특별시","광진구","능동","치킨","5"
"20170801","화","여","50대","서울특별시","광진구","능동","치킨","5"
"20170801","화","남","10대","서울특별시","광진구","능동","치킨","5"
"20170801","화","여","60대이상","서울특별시","광진구","자양동","치킨","5"
"20170801","화","여","30대","서울특별시","광진구","중곡동","치킨","5"
"20170801","화","여","50대","서울특별시","광진구","구의동","치킨","5"
"20170801","화","남","10대","서울특별시","구로구","구로동","치킨","5"
"20170801","화","남","10대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","남","10대","서울특별시","구로구","신도림동","치킨","14"
"20170801","화","남","20대","서울특별시","구로구","개봉동","치킨","34"
"20170801","화","남","20대","서울특별시","구로구","고척동","치킨","5"
"20170801","화","남","20대","서울특별시","구로구","구로동","치킨","8"
"20170801","화","남","20대","서울특별시","구로구","신도림동","치킨","29"
"20170801","화","남","30대","서울특별시","구로구","개봉동","치킨","37"
"20170801","화","남","30대","서울특별시","구로구","구로동","치킨","7"
"20170801","화","남","30대","서울특별시","구로구","신도림동","치킨","45"
"20170801","화","남","40대","서울특별시","구로구","개봉동","치킨","39"
"20170801","화","남","40대","서울특별시","구로구","고척동","치킨","5"
"20170801","화","남","40대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","남","30대","서울특별시","구로구","고척동","치킨","6"
"20170801","화","남","20대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","남","50대","서울특별시","구로구","개봉동","치킨","7"
"20170801","화","남","50대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","남","60대이상","서울특별시","구로구","개봉동","치킨","12"
"20170801","화","남","60대이상","서울특별시","구로구","구로동","치킨","5"
"20170801","화","남","60대이상","서울특별시","구로구","신도림동","치킨","7"
"20170801","화","여","10대","서울특별시","구로구","개봉동","치킨","8"
"20170801","화","여","10대","서울특별시","구로구","구로동","치킨","5"
"20170801","화","여","10대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","남","50대","서울특별시","구로구","고척동","치킨","5"
"20170801","화","여","20대","서울특별시","구로구","개봉동","치킨","23"
"20170801","화","여","20대","서울특별시","구로구","고척동","치킨","8"
"20170801","화","여","20대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","여","20대","서울특별시","구로구","구로동","치킨","5"
"20170801","화","여","20대","서울특별시","구로구","신도림동","치킨","30"
"20170801","화","남","10대","서울특별시","구로구","고척동","치킨","5"
"20170801","화","여","30대","서울특별시","구로구","개봉동","치킨","58"
"20170801","화","남","10대","서울특별시","구로구","개봉동","치킨","19"
"20170801","화","여","30대","서울특별시","구로구","고척동","치킨","5"
"20170801","화","여","30대","서울특별시","구로구","구로동","치킨","12"
"20170801","화","여","30대","서울특별시","구로구","궁동","치킨","8"
"20170801","화","여","40대","서울특별시","구로구","개봉동","치킨","67"
"20170801","화","여","40대","서울특별시","구로구","고척동","치킨","8"
"20170801","화","여","40대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","여","50대","서울특별시","구로구","개봉동","치킨","19"
"20170801","화","남","60대이상","서울특별시","구로구","고척동","치킨","5"
"20170801","화","여","50대","서울특별시","구로구","구로동","치킨","5"
"20170801","화","여","40대","서울특별시","구로구","구로동","치킨","5"
"20170801","화","여","30대","서울특별시","구로구","신도림동","치킨","37"
"20170801","화","여","50대","서울특별시","구로구","궁동","치킨","5"
"20170801","화","여","50대","서울특별시","구로구","신도림동","치킨","18"
"20170801","화","여","10대","서울특별시","구로구","신도림동","치킨","14"
"20170801","화","여","50대","서울특별시","구로구","고척동","치킨","5"
"20170801","화","남","50대","서울특별시","구로구","신도림동","치킨","10"
"20170801","화","여","60대이상","서울특별시","구로구","개봉동","치킨","7"
"20170801","화","여","60대이상","서울특별시","구로구","고척동","치킨","5"
