"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20170405","수","남","20대","서울특별시","중구","남대문로2가","치킨","5"
"20170405","수","여","20대","서울특별시","중구","충무로4가","치킨","5"
"20170405","수","여","10대","서울특별시","중구","신당동","치킨","11"
"20170405","수","여","40대","서울특별시","중구","수하동","치킨","11"
"20170405","수","여","60대이상","서울특별시","중구","충무로4가","치킨","5"
"20170405","수","남","60대이상","서울특별시","중구","입정동","치킨","5"
"20170405","수","여","50대","서울특별시","중구","흥인동","치킨","5"
"20170405","수","남","10대","서울특별시","중구","충무로1가","치킨","5"
"20170405","수","남","20대","서울특별시","중구","신당동","치킨","41"
"20170405","수","남","50대","서울특별시","중구","신당동","치킨","12"
"20170405","수","남","60대이상","서울특별시","중구","신당동","치킨","8"
"20170405","수","여","20대","서울특별시","중구","신당동","치킨","26"
"20170405","수","여","50대","서울특별시","중구","입정동","치킨","5"
"20170405","수","여","50대","서울특별시","중구","신당동","치킨","19"
"20170405","수","여","60대이상","서울특별시","중구","신당동","치킨","5"
"20170405","수","여","40대","서울특별시","중구","주교동","치킨","5"
"20170405","수","남","20대","서울특별시","중구","충무로4가","치킨","5"
"20170405","수","여","30대","서울특별시","중구","수하동","치킨","12"
"20170405","수","여","40대","서울특별시","중구","을지로3가","치킨","5"
"20170405","수","남","10대","서울특별시","중구","신당동","치킨","7"
"20170405","수","남","30대","서울특별시","중구","명동2가","치킨","5"
"20170405","수","남","40대","서울특별시","중구","수하동","치킨","16"
"20170405","수","남","30대","서울특별시","중구","주교동","치킨","5"
"20170405","수","여","50대","서울특별시","중구","수하동","치킨","7"
"20170405","수","여","30대","서울특별시","중구","순화동","치킨","5"
"20170405","수","여","40대","서울특별시","중구","충무로4가","치킨","5"
"20170405","수","여","60대이상","서울특별시","중구","수하동","치킨","5"
"20170405","수","남","30대","서울특별시","중구","충무로4가","치킨","5"
"20170405","수","남","50대","서울특별시","중구","을지로3가","치킨","5"
"20170405","수","여","20대","서울특별시","중구","수하동","치킨","16"
"20170405","수","남","20대","서울특별시","중구","남대문로4가","치킨","5"
"20170405","수","남","40대","서울특별시","중구","신당동","치킨","36"
"20170405","수","여","60대이상","서울특별시","중구","태평로2가","치킨","5"
"20170405","수","남","30대","서울특별시","중구","흥인동","치킨","5"
"20170405","수","여","30대","서울특별시","중구","신당동","치킨","52"
"20170405","수","남","10대","서울특별시","중구","수하동","치킨","5"
"20170405","수","여","40대","서울특별시","중구","신당동","치킨","55"
"20170405","수","남","30대","서울특별시","중구","입정동","치킨","5"
"20170405","수","여","20대","서울특별시","중구","소공동","치킨","5"
"20170405","수","남","30대","서울특별시","중구","신당동","치킨","52"
"20170405","수","여","40대","서울특별시","중구","입정동","치킨","5"
"20170405","수","남","40대","서울특별시","중구","저동1가","치킨","5"
"20170405","수","여","10대","서울특별시","중구","수하동","치킨","5"
"20170405","수","남","10대","서울특별시","중구","남대문로4가","치킨","5"
"20170405","수","남","50대","서울특별시","중구","수하동","치킨","8"
"20170405","수","남","60대이상","서울특별시","중구","수하동","치킨","7"
"20170405","수","여","20대","서울특별시","중구","주교동","치킨","5"
